studentNumber,class,SESSION_CD,grade
1009340394,BIOA01H3,20229,88
1009340394,CHMA10H3,20229,75
1009340394,HLTA02H3,20229,84
1009340394,LINA01H3,20229,73
1009340394,PSYA01H3,20229,84
1008085741,CSCB07H3,20229,70
1008085741,CSCB36H3,20229,60
1008085741,GGRA30H3,20229,91
1008085741,PSYA01H3,20229,78
1008085741,STAB52H3,20229,74
1008160963,BIOB10H3,20229,98
1008160963,BIOB33H3,20229,90
1008160963,BIOB50H3,20229,87
1008160963,BIOB90H3,20229,CR
1008160963,CHMB41H3,20229,90
1008160963,PSYA01H3,20229,92
1008996357,ANTA01H3,20229,73
1008996357,COPB50H3,20229,CR
1008996357,GASB57H3,20229,80
1008996357,PSYA01H3,20229,72
1009189227,BIOA01H3,20229,80
1009189227,CHMA10H3,20229,76
1009189227,LINA01H3,20229,56
1009189227,PSYA01H3,20229,67
1006545972,MGMB01H3,20229,70
1006545972,MGSB22H3,20229,73
1006545972,PHLB81H3,20229,71
1009079961,BIOA01H3,20229,81
1009079961,CHMA10H3,20229,81
1009079961,HISB63H3,20229,81
1009079961,MATA29H3,20229,90
1009079961,PSYA01H3,20229,79
1009295870,BIOA01H3,20229,74
1009295870,CHMA10H3,20229,70
1009295870,PHLB09H3,20229,68
1009295870,PSYA01H3,20229,66
1009450844,BIOA01H3,20229,65
1009450844,CHMA10H3,20229,79
1009450844,MATA29H3,20229,52
1008006943,ANTA01H3,20229,75
1008006943,EESA01H3,20229,78
1008006943,PHLA11H3,20229,79
1008006943,PSYA01H3,20229,77
1009326971,BIOA01H3,20229,70
1009326971,CHMA10H3,20229,72
1009326971,EESA09H3,20229,63
1009326971,MATA29H3,20229,72
1009326971,PSYA01H3,20229,70
1008622073,IDSA01H3,20229,78
1008622073,PHLA11H3,20229,80
1008622073,POLA01H3,20229,78
1008622073,PSYA01H3,20229,86
1009010776,BIOA01H3,20229,77
1009010776,EESA01H3,20229,65
1009010776,HLTA02H3,20229,81
1009010776,PSYA01H3,20229,82
1009103701,BIOA01H3,20229,81
1009103701,CHMA10H3,20229,86
1009103701,MATA29H3,20229,82
1009103701,MGTA01H3,20229,80
1009103701,PSYA01H3,20229,84
1009036614,BIOA01H3,20229,80
1009036614,CHMA10H3,20229,74
1009036614,HLTA02H3,20229,84
1009036614,LINA01H3,20229,83
1009036614,PSYA01H3,20229,83
