ideal1,ideal2,ideal3,ought1,ought2,ought3
disciplined,adaptable,intelligent,empathetic,understanding,resilient
Assertive,Knowledgeable,Organized,Confident,Self motivated ,Determined
Hardworking,Charismatic,Happy,Kind,Understanding,Helpful
Happy,Empathetic,Determined,On-time,Caring,Honest
kind,successful,impactful,hard working,generous,light-hearted
kind,tough,intelligent,hardworking,thoughtful,loving
Honest,Loving,Rich,Disciplined,Inspiring,Realistic
honest,critcal,fiery,driven,respectful,productive
Happy,Funny,Leader,Responsible,Timely,Self-possessed
Smart,Rich,Sympatheic,Kind,Athletic,Grateful
Successful,Loving,Inspiring,Mindful,Compassionate,Considerate
beautiful,happy,popular,kind,smart,comfortable
kind,interesting,loyal,tolerant,productive,informed
smart,leader,reliable,compassionate,loving,successful
kind,warm,caring,competitive ,disciplined,generous 
strong,insightful,adaptable,caring,hopeful,intelligent
hardworking,charismatic,popular,trustworthy,brave,honest
kind,compassionate,creative,altruistic,selfless,patient
intelligent,special,risk taker,quick,Good,careing
kind ,driven,smart,considerate,generous ,mindful
kind ,focused,sincere,respectful,empathetic,helpful
wellrounded,happy,smart,driven,concentrated,wellspoken
Financially Stable,Reliable,Compassionate ,Organized,Sociable,Proactive
efficient,sympathizing,manipulating,responsible,kind,loving
Courageous,Respected,Dignified,Holy,Righteous,Smart
successful,intelligent ,fun,understanding,humble,caring
successful,happy,compassionate,honest,hardworking,moral
considerate,successful,role-model,hardworking,kind,friendly
successful,well-rounded,resilient ,respectful,sympathetic,well-tempered
Respectful,Inspiring,Smart,Hardworking,Caring,Philanthropic
confident,happy,interesting,kind,disciplined,charismatic
Successful,Kind,Strong,Hard-working,Happy,Smart
inspirational,smart,organized,kind,respectful,friendly
generous,Calm ,loving,fair ,motivated,gritty
virtuous ,Patient,steadfast,considerate,hard-working,honor
Organized,Sucessful,happy ,Determined,Honest,Collaborative
Diligent,Intelligent,Attractive,Compassionate,Good,Knowledgeable
happy,successful,motivated,dedicated,inspiring,strong
confident,successful,relaxed,punctual,sociable,reasonable
sensitive,empowering,creative,responsible,courageous,independent
kind,funny,positive,driven,studious,reasonable
benevolent,philanthropic,compassionate,fair,forgiving,honest
Successful,Happy,Independent,Moral,Responsible,leaderly
honest,confident,intelligent,patient,selfless,informed
Confident,Intelligent,Independent,Considerate,Compassionate,Honest
open-minded,wealthy,charitable,successful,caring,kind
hardworking,confident,kind,hardworking,normal,career-oriented
sensible,loyal,reliable,responsible,hard working,nice
kind,funny,artistic,responsible,diligent,empathetic
Compassionate,Intelligent,Charismatic,Disciplined ,Gregarious,Stuious
Patient,Intelligent,Selfless,Forgiving,Kind,Caring
friendly,hardworking,successful,kind,kind,passionate
Fun,Smart,Honest,Kind,Selfless,Responsible
Friendly,Sympathetic,Intelligent,Nice,Calm,reliable
Kind,Empathetic,Charismatic,Smart,Funny,Eloquent
caring,grit,charming,strict,forgiving,smart
Successful,Knowledgable,Powerful,Kind,Confident,Gentle
successful,generous,open-hearted,charming,kind,positive
kind,introspective,generous,good,thoughtful,political
kind,Driven,forgiving,giving,collected,open minded
kind,successful,intelligent,accepting,cautious,polite
happy,loved,beautiful,educated,successful,useful
strong,Independent,happy,compassionate,reliable,sucessful
