ideal1,ideal2,ideal3,ought1,ought2,ought3
smart,witty,endearing,creative,funny,charming
nice,smart,rich,kind,good,clean
grateful,educated,cultured,helpful,caring,happy
generous,successfull,easy going,kind,caring,sympathetic
happy,satisfied,stable,responsible,optimistic,loyal
rich,excited,optimistic,happy,kind,welcoming
generous,accepting,pleasant,kind,happy,non judgemental
successful,forgiving,thoughtful,kindness,generous,intelligent
assertive,outgoing,kind,honest,trustworthy,extroverted
smart,happy,giving,brave,kind,polite
rich,wise,kind,smart,determined,responsible
kind,smart,funny,dependent,wonderful,loving
reliable,faithful,calm,centred,energetic,peaceful
organized,inspiring,determined,diligent,stubborn,sociable
loyal,brave,kind,hero,confident,smart
generous,hopeful,energetic,kind,helpful,loving
admirable,generous,loved,honest,responsible,empathetic
successful,giving,friendly,caring,helpful,charitable
hardworking,smart,persuasive,honest,dependable,kind
nice,smart,confident,hopeful,trueful,calm
responsible,smart,liked,hard working,frugal,mature
successful ,safe,accomplished,honest,social,happy
rich,famous,funny,honest,loyal,trustyworthy
successful,wealthy,outgoing,happy ,adventurous ,independant
wealthy,relaxed,healthy,generous,religious,friendly
intelligent,discerning,skillful,honest,kind,helpful
kind  ,generous,cheery,responsible,philanthropic,organized
educated,talented,dependable,funny,amazing,charming
successful,honest,patient,caring,helpful,hardworking
patient,giving,kind,successful,generous,mature
honest,loving,active,hard working,kind,empathetic
kind,loyal,intelligent,patient,dedicated,giving
kind,charitable ,knowledgeable ,responsible,motivated,successful
patient,giving,content,responsible,kind,reliable
smart,powerful,softhearted,sexy,moral,kind
fair,truthful,good,brave,nice,loyal
rich,kind,strong,hardworking,moral,polite
kindness,loving,considerate,generous,loyal,honest
kind ,calm,wise,responsible,inquisitive,patient
outgoing,loyal,resourceful,leader,strong,fearless
honest,gorgeous,loving,kind,beautiful,generous
responsible,wise,altuistic,honest,friendly,charitable
industrious,carefree,wise,responsible,knowledgeable,cooperative
not anxious,confident,sociable,generous,helpful,understanding
generous,brave,wealth,empathetic,kind,strong
generous,rich,loving,helpful,responsible,dedicated
caring,stoic,happy,brave,intellegent,creative
intelligent,successful,self-reliant,honest,generous,optimistic
heroic ,loving,funny,trustworthy,positive,caring
fearless,patient,creative,committed,attentive,determined
assertive,strong,loya,confident,confident,interesting
wise,compassionate,caring,powerful,healthy,patient
successful,ambitious,creative,giving,patient,careful
kind,loving,warm,patient,forgiving,mindful
compassionate,happy,charismatic,active,brave,strong
kind,generous,wealthy,honest,loving,sincere
rich,handsome,famous,giving,strong,thoughtful
productive,creative,competent,kind,ambitious,openminded
honest,nice,thoughtful,wise,good,cool
wise,confident,insightful,fair,kind,cheerful
loving ,successful,kind,helpful,smart,selfless
smart,persistant,funny,reliable,friendly,witty
prideful,mindful,organized,faithful,hopeful,goal oriented
generous and respected,smart,honest,kind,polite,grateful
rich,sexy,genius,courteous,nice,giving
just happy ,happy,have my own business,financially stable ,helping person,hard working
empathetic,courageous,forgiving,creative,kind,self aware
kind,polite,friendly,attentive,careful,helpful
loving,kind,helpful,caring,self-controlled,generous
empathetic ,passionate,sympathetic ,intuitive,creative,intelligent
successful ,charitable,hospitable,comfortable,considerate,helpful
patient,rich,kind,rich,famous,fun
sincere,successful ,consistent ,reliable,forgiving,helpful
strong,kind,friendly,outgoing,skillful,healthy
kind,loving,compassionate,stable,even,caring
caring,loving,compassionate,happy,responsible,understanding
smart,rich,funny,healthy,competent,happy
kind,positive,sociable,responsible,selfless,generous
successful,head-turning,honest,loved,helpful,empathetic
kind,reliable,helpful,honest,giving,determined 
strong,honest,positive,honest,logical,smart
great,humble,warm,successful,glorious,good
optimistic,successful,respected,loyal,hard working,good friend
wise,loyal,level-headed,caring,brave,friendly
kind,successful,weathy,helpful,caring,organized
patient,caring,fair,loving,fun,smart
kind,special,loving,helpful,hopeful,caring
happy,kind,altruistic,compassionate   ,successful,giving
smart,grateful,dependable,kind,happy,reliable
kind,loved,calm,successfulu,happy,hardworking
smart,giving,resilient,humble,caring,intuitive
kind,empathatic,generous,outgoing,loyal,social
honorable,enlightened,wealthy,intelligent,organized,creative
compassionate,settled,thoughtful,patient,kind,outgoing  
thoughtful ,artistic,happy, kind,rich,friendly
genuine,loving,independent,responsible,mature,calm
heathy,wealthy,fulfilled,compassionate,intelligent,outgoing
caring,social,happy,motivated,diligent,hard working
