ideal1,ideal2,ideal3,ought1,ought2,ought3
successful ,happy,happy,made,rich,safe
rich,tall,diligent,hardworking,nicer,generous
Successful,Energetic,Caring,Just,Kind,Smart
kind,reliable,active in neighborhood things,honest,hardworking,helpful
fair,confident,unpredictable,honest,frugal,optimistic
wise,caring,tender,kind,smart,empathetic
kind,happy,generous,confident,energetic,trustworthy
Happy,Elated,Estatic,Cheerfull,Friendly,Gladful
wealthy,successful,productive,reliable,caring,supportive
outgoing,bold,extroverted,helpful,self sufficient,stable
Kind,Loving,Working,Smart,Funny,Caring
pretty,nice,friednly,nice,cool,different
Honest,Intelligent,Likeable,Hard-working,Good,Patient
Productive,Succesful,Sympathetic,Caring ,Loving,Physical
his quality ,helpfull,contribute,gentelman,great help ,kindness
confident,open-minded,handsome,Empathetic,rational,respectful
SUCCESSFUL,PASSIONATE,RICH,HUMBLE,KIND,GIVING
Generous,Successful,Respected,Helpful,Polite,Reliable
Honest,A cumslut,Trustworthy,Responsible,Calm,Kind
ambitious ,successful,positive,kind,strong,compassionate 
successful,admired,respected,kind,trustworthy,res[ectful
courageous,analytical,loving,flexible,caring,helpful
Wealthy,Kind,Innovator,Caring,Warm,Listener
strong,healthy,dependable,patient,loyal,kind
confident,cheerful,kind,independent,hardworking,wealthy
sucessful,wise,independent,healthy,wealthy,helpful
hardworking,social,intellectual,cultured,travelled,generous
fun,empethetic,tall,loving,kind,successful
Affluent ,Kind,Fit,Responsible,Good partner,Educated
Successful,Trustworthy,Thrifty,Generous,Loving,Happy
charismatic,Fancy,smart,outgoing,funny,caring
Outgoing,Funny,Masculine,Professional,Friendly,Smart
Kind,Optimistic ,Caring,Patient,Intelligent,Confident
honest,great,great,kine,kind,nice
modest,wise,respected,honest,considerate,compassionate
A HAPPY PERSON,INSPIRATIONAL,MOTIVATIONAL,OUTGOING,LOVEABLE,good listener
authentic,sincere,better,kind,giving,loving
good parent,entrepreneur ,in shape,caring,good spouse,loving
kind,successful,hopeful,smart,compassionate,understanding
Wise,Kind,Tolerant,Strong,Patient,Intelligent
CLEVER,TRUSTWORTHY,WITTY,HONEST,FRIENDLY,MODEST
successful,fit,calm,kind,generous,caring
kind,generous,motivated,forgiving,sincere,hopeful
industrious,wealthy,productive,kind,helpful,employed
brave,Honest,Healthy,Kind,Caring,Charitable
Successful ,Happy,Cheerful,Smart,Hopeful,FUN
loving,good,careful,caring,honest,hopeful
caring,respectful,wealthy,helpful,responsible,kind
kind,gentle,just,loving,servant-minded,patient
successful ,confident,smart,fair,disciplined ,kind
generous ,happy,healthy,helpful,kind,fun
Consistent,Confident,Giving,Honest,Kind,Responsible
friendly,productive,loved,generous,energetic,clean
kind,smart,religous,generous,hardworking,good
Caring,Successful,Happy,Loving,Smart,Strong
kind,helpful,selfless,compassionette,caring,affectionette
kind ,generous,knowledgeable,thoughtful,considerate,wise
generous,pleasant,honorable,forgiving,social,kind
trustworthy,intelligent,attentive,kind,faithful,outgoing
strong,motherly,generous,wise,compassionate,understanding
Responsible,Financially stable,Wise,Honest,Fearless,Caring
Patient,Charismatic,Selfless,Honest,Confident,Motivated
generous,optimistic,ambitious,reliable,fair,enthusiastic
healthy,wealthy,relaxed,happy,stress free,content
honesty,good value.,genius,accurate,natural.,gentelman
relaxed,adventurous,creative,dilligent,caring,focused
nice,honest,honest,nice,nice,honest
considerate,happy,strong,smart,determined,funny
