ideal1,ideal2,ideal3,ought1,ought2,ought3
highly empathetic,wholly honest,communicative,humble,highly productive,patient
caring,funny,pretty,loving,happy,joyous
smart,meaningful,loving,helpful,hopeful,tolerant
kind,faithful,compassionate,responsible,helpful,fair
determined,outgoing,smart,compassionate,confident,perceptive
Successful,Resilient ,Selfless,Happy,Motivated,Caring
Responsible,Respectful,Modest,Productive,Nice,Timid
Smart,Funny,Witty,Honest,Wise,Caring
generous,wise,intelligent,obedient,hard working,wealthy
dependable,nice,happy,kind,patient,charitable 
good,smart,fun,honest,hardworking,clean
rich,playful,strong,understanding,friendly,giving
smart ,secure,successful,kind,productive ,responsibe
caring,cheerful,selfless,moral,hardworking,honest
good,kind,faithful,smart,fair,loving
capable,generous,fun,helpful,kind,calm
Giving,Wise,Quirky,Bold,Educated,Decisive
Successful,Wealthy,Intelligent,Skilled,Hardworking,Socially competent
Hardworking,Confident,Moral,Honest,Empathetic,Friendly
passionate,smart,skilled,helpful,nice,savvy
successful,rich,educated,thin,healthy,smart
kind,honest,warm,rich,reliable,dependable
healthy,active,joyous,honest,faithful,loving
Successful,Rich,Trustworthy,Helpful,Sympathetic,Dependable
brave,calm,forgiving,social ,organized,self reliant
successful,rich,generous,loving,diligent,nice
positive,hoepfull,considerate,compassionate,generous,kind
kind,thoughtful,helpful,forgiving,capable,openminded
smart,fun,kind,brave,interesting,loving
succesful,cool,relaxed,successful,generous,callm
happy,energetic,focused,patient,kind,healthy
smart,ascribe,Calculating,Agile,positive,Committed
GENEROUS,RICH,WISE,SMART,INTELLIGENT ,NICE
good,perfect,nice,nice,very interesting.,no
honorable,courageous,generous,dependable,hardworking,responsible
Disciplined,Thoughtful,Trustworthy,Moral,Structured,independent
brave,self sacrificing,content,hard working,responsible,patient
wise ,optimistic,strong,honest,Nice,impartial
compassionate,Loving,Generous ,honest,smart,patient
peaceful,Happy,Wealthy,efficient,Dutiful,Wise
ambitious,Trusting,Famous,caring,Loving,Faithful
successful,nurturing ,athletic ,happy,smart,funny
caring ,good hearted,beautiful ,hospitality,kind,good
awesome,famous,handsome,rich,loved,hero
strong,wealthy,fit,calm,honest,smart
relaxed,warm,confident,responsible,friendly,generous
kind,honest,gracious,compassionate,wise,respectful
reliable,attractive,rich,responsible,trustworthy,humble
successful ,nice,inspiring,hard worker ,patient,consistent
kind,confident,motivated,successful,thin,compassionate
loving,disciplined,inspiring,helpful,generous,charitable
kind,compassionate,wise,smart,friendly,charitable
Successful,Loved,Generous,Environmental,Honest,Responsible
patient,quick witted,interesting,forgiving,outgoing,nice
Kind,Friendly,Smart,Loving,Funny,Respectful
succesful,rich,smart,hopeful,responsible,energetic
Motivational,Motivational,Cheerful,Optimistic,Outspoken,Spiritual
sincere,wise,polite,emphatic,generous,kind
car,office woring,new home,nice,good person,
decisive,more active,adventurous,honest,trustworthy,faithful
happy,confident,skilled,Successful,fearless,secure
kind,creative,funny,smart,virtuous,thoughtful
secure,wealthy,healthy,happy,nice,sincere
Generous,Kind,Open,Strong,Ambitious,Loving
smart,religious,funny,friendly,wealthy,quick
successful,inspiring,supportive,respectful,tolerant,rational
kind,clever,cooperative,Honest,Flexible,calm
perseverance,brave,curious,giving,flexible,adventurous
assertive,selfless,helpful,compassionate,motivaing,active
generous,sincere,wealthy,honest,mature,successful
successful,calming,smart,generous,welcoming,strong
loyal ,caring,happy,nice,kind,TRUE
