ideal1,ideal2,ideal3,ought1,ought2,ought3
motivated,organized,independent,spiritual,empathetic,optimistic
honest,caring,nice,assertive,direct,bold
rich,healthy,peaceful,taller,kinder,hungry
Kind ,Wise,Good,Nice,Merciful,Forgiving
honest,considerate,collected,supportive,kind,intelligent
dependable,artistic,determined,carefree,patient,focused
friendly,successful,admired,loyal,generous,courageous
Virtuous ,Driven,Tall,Hardworking,Generous ,Well-informed
Efficient,Introspective,successful,Empathetic,fair,inclusive
Kind,friendly ,optimistic,Patient ,successful ,polite
thoughtful,kind,family-oriented,achievement-oriented,creative,intelligent
kind,driven,patient,motivated,organized,responsible
fit,romantic,fast,accurate,smart,calm
Generous,Organized,Intelligent,Patient,Supportive,Aware
Compassionate,Well-Respected,Free,Strong,Independent,Leader
Kind,Patient,Generous,Gentle,Selfless,Humble
caring,inspiring,respected,responsible,brave,intelligent
successful,patient,carefree,kind ,empathetic,humble
Successful,Intelligent,Decisive,Passionate,Compassionate,Generous
Leader,Funny,Go-getter,Responsible,Caring,Hopeful
Satisfied,Skinny,Content,Responsible,Kind,Understanding
kind,personable,honest,polite,dedicated,fun
Inspirational,Transcendent,Personable,Leader,Funny',Wealthy
Smart,Sucessful,Positive,Kind,Honest,Leader
patient,bold,hopeful,happy,concerned,brave
Hansome,Respectable,admirable,Honest,Persistent,Caring
kind ,giving,smart,compassionate,open-minded,disciplined
Successful,Caring,Happy,Funny,Handsome,Wealthy
happy,healthy,open mind,graceful,honest,interest 
Giving,Forgiving,Altruistic,Smart,Kind,Hard working
kind ,successful ,pretty,accepting,forgiving,listener
loving\,generous,successful,honest,selfless,forgiving
creative,fulfilled,notable,diligent,reliable,hardworking
accomplished,inspirational,well-rounded,trustworthy,reliable,vocal
inspiring,funny,strong willed,rich,family,efficient
organized,inquisitive,risk-taking,practical,social,studious
Smart,persuasive,compassionate,Kind,Hardworking,charismatic
motivated,strongheaded,creative,respectable,happy,calm
happy,giving,humble,sucessful,successful,rich
compassionate,sefless,eloquent,considerate,hard working,civically engaged
Kind,Kind,Smart,Strong,Smart,Strong
Fair,Caring,Successful,Just,respectful,Hardworking
loving,honest,selfless,humble,fair,funny
inspiring,giving,confident,kind,honest,genuine
confident,extroverted,don't hold grudges,kind,hardworking,clever
kind,brave,religious,efficient,thoughtful,logical
Honest,Powerfull,Peacefull,Dedicated to work,Hardworking,Self driven
compassionate,care free,happy,brave,attractive,socially smart
Empathetic,Successful,Attentive,Forgiving,Understanding,Helpful
successful,loving,caring,persistent,consistent,confident
caring,crafty,beauty,kind,smart,hardworking
Happy,Loved,Compassionate,Generous,Creative,Successful
Honest ,comforting ,Loyal ,Positive ,Healthy ,stronger
intelligent,integrity,honest,empathetic ,trusting ,bold
nice ,smart,intelligent,kind,caring,compasionate
free,peaceful,enlightened,responsible,restrained,healthier
Strong,Wise,Willful,Smart,Caring,Cool
someone who is patient,open,driven,forgiving,motivated,trusting
Confident,Kind,Successful,Social,Friendly,Mindful
Thoughtful,Leader,Amazing,Trustful,Postive,Honest
empathetic,nurturing,welcoming,proactive,responsible,honest
honest,fullfilled,happy,kind,reliable,considerate
respected,well-rounded,interesting,Honest,Educated,adventurous
compassionate ,confident,independent,hardworking,friendly,helpful
kind,wise,healthy,kind,smart,healthy
strong,knowledgeable,capable,compassionate,understanding,insightful
outgoing,extravert,ambitious,a leader,smart,studious
rich,fit,disciplined,decisive,truthful,likable
Productive,Brave,Charitable,Wealthy,Focused,Charismatic
Honest,Caring,Organized,Empathetic,Kind,Motivated
patient ,friendly,fun,caring,kind,healthy
forgiving,successful,wise,responsible,caring,understanding
humble ,patient,helpful,compassionate ,kind,open minded
honest,direct ,corteous ,bright,real   ,modest 
Kind,forgiving,nice,thoughful,caring,cool
Good,Honest,Gracious,Great,Noble,Grateful
leader,sucessful,brilliant,miserable,sad ,scared
Driven,Detailed,Intelligent,Forgiving,Kind,Caring
great,motivated,smart,hard working,determined,wishful
faithful,resourceful,wise,Dedicated,Loving,providing
Graceful ,Kind,Loving,Responsible,Intelligent,Disciplined
kind,understanding,fun,honest,empathetic,trustworthy
Free,Fulfilled,Strong,Responsible,Patient,Hardworking
spiritual,leader,intelligent,provider,brave,ambitious
confident,smart,charming,reliable,intellegent,consistent
kind,Healthy,Well traveled,Proper,polite,Productive
A successful person to be loved by everyone ,Powerful,Hopeful,A famous being,A useful and help meet to everyone,Determined
Generous,Funny,Important,Caring,Hardworking,Empathetic
brave,successful,loved,selfish,smart,strong
honest,relaxed,normal,calm,nice,level headed
successful,rich,popular,kind,respectful,generous
understanding,Patient,Courageous,Hard-working,Caring,Kind
Kind,Wise,Entertaining,Hardworking,Honest,Forgiving
honest person,healthy,friendly,honest,honest,joyfull
brave ,rich,hard working  ,determined ,funny,honest
good,great,mighty,briliant,strong always,rich
SINCERE,SINCERE,NICE,HONEST,DEPENDABLE,HELPFUL
