ideal1,ideal2,ideal3,ought1,ought2,ought3
kind,confident,empathetic,helpful,hard-working,successful
creative,beautiful,thoughtful,responsible,punctual,dutiful
honorable,wealthy,retired,honest,moral,successful
caring,fair,smart,honest,loyal,funny
smart,funny,cool,kind,hard working,brave
ambitious,family-oriented,uplifting,kind,helpful,hardworking
intelligent,happy,loving,compassionate,generous,passionate
fearless,rich,creative,thrifty,brave,loving
forgiving,wise,sweet,compassionate,caring,intelligent
honest,proud,hard working,truthful,humble,giving
kind,successful,popular,energetic,beautiful,forgiving
trustworthy,respectable,good,honest,respectful,respectful
smart,cute,knowing,smart,knowledgeable,intellegent
courageous,generous,compassionate,near perfect,helpful,caring
dependable,determined,quick,intelligent,sympathetic,patient
successful,sincere,mature,honest,kind,smart
calm ,creative,strong,empathetic ,fair,honest
strong,caring,understanding,responsible,open,smart
king,just,successful,helpful,confident,compassionate
