ideal1,ideal2,ideal3,ought1,ought2,ought3
successful,motivated,funny,kind,warm,caring
kind,helpful,inteliigent,generous,forgiving,supportive
Kind ,Loving,Motivated,Helpful,Honest,Caring
successful,ambitious,articulate,trustworthy,patient,fun
honest,fit,wealthy,caring,hopeful,smart
honest ,leader,hardworker,moral,honest,faithful
Sucessful ,Smart,Empathtic ,Kind,Patient ,Helpful
honest,caring,smart,healthy,kind,nice
charitable ,warm,outgoing,sincere,nice,cheerful
kind,successful,fast,caring,cool,loving
Compassionate, industrious, spiritual, generous, intelligent, social
active,wealthy,educated,honest,loving,hardworking
loyalty,selfless service,integrity,duty,respect,honor
stable,adventurous,traveled,Caring,Educated,responsible
Responsible,Attractive,Powerful,Successful,Family Oriented,Fiscally Solvent
rich,happy,optimistic,financially stable,smart,honest
smart,successful,inspiring,optimistic,friendly,happy
honest,compassionate,loyal,responsible,kind,diligent
effective,loving,empathetic,warm,caring,unique
Giving,Wealthy,Empathetic,Forgiving,Honest,Compassionate
Successful,Enlightened,aspiring,Caring,Conscience,adventeroous
HUMBLE,KIND,GOOD LISTENER,RICH,SMART,FAST
happy ,healthy,timely,honest,helpful,kind
loyal,fearless,respected,forgiving,selfless,strong
successful,wealthy,fit,helpful,determined,compassionate
generous,kind,empathic,motivated,ambitious,responsible
Successful,Driven,Outgoing,Kind,Tolerant,Generous
respected,successful,loved,honest,responsible,caring
Kind,courageous,empathetic ,honest,strong,thoughtful
powerful,competent,financially stable,good,helpful,kind
wealthy,social,strong,moral,kind,giving
patient,successful,creative,responsible,mature,rich
generous ,courageous,pleasant,caring,flexible,consistent
caring,loving,intelligent,empathy,responsible ,mindful
peaceful,understanding,generous,friendly,curious,interested
More wealthy,Organized,Healthy,Kind,Helpful,Providing
wise,loving,healthy,truthful,kind,rich
empathetic,lovable,loyal,encouraging,perceptive,honest
kind,outgoing,successful,brave,skilled,honest
smart,kind,brilliant ,warm,rich,loving
Kind,Wealthy,Friendly,Strong,Smart,Helpful
Successful,Creative,Outgoing,Sensible,Responsible,Normal
loyal,kind,successful ,happy,thankful,respectful 
succesful,Happy,Strong,Good,Smart,Better
successful,giving,fulfilled,friendly,helpful,gracious
giving,helpful,intelligent,compassionate,honest,creative
Insightful,Intelligent,Creative,Responsible,Dependable,Clean
charitable,happy,loving,content,caring,successful
successful,trustworthy,compassionate,morak,honest,responsible
Funny,Flexible,Organized,Smart,Patient,Modest
decisive,healthy,dependable,respected,happy,forgiving
kind,loving,warm,caring,loyal,patriotic
thrifty,faithful,content,wise,patient,tenacious
passionate,caring,creative,responsible,honest,sympathetic
healthy,approachable,funny,caring,honest,loving
considerate ,kind,rich,generous,motivated,hard working
successful,creative,inventive,hardworking,confident,selfless
