"prescreen_key"
"question_id","export_name","question_text","section_id"
"3","Gender","What is your gender?","2"
"4","Ethnicity","Which ethnicity do you identify with MOST?","2"
"5","Religion","Religious Affiliation","2"
"6","Native English","Is English your first language?","2"
"7","Years English","How many years have you been speaking English?","2"
"8","Handedness","What is your dominant handedness?","2"
"24","depsen1","I get mentally fatigued easily.","6"
"25","depsen2","When I am mentally fatigued, I am easily tempted to do things that are actually no good for me.","6"
"26","depsen3","After I exerted a lot of mental effort, I need to take a rest first before I can do another complicated task.","6"
"27","depsen4","It is hard for me to persist with a difficult task.","6"
"28","depsen5","I have difficulties focusing my attention after I exerted a lot of mental effort.","6"
"29","depsen6","When I'm tired I have difficulties concentrating.","6"
"30","depsen7","At the end of a working day I often have difficulties staying focused.","6"
"31","depsen8","When I'm tired I sometimes have difficulties to remain friendly or polite.","6"
"32","depsen9","After I have worked very hard at something, I am not good at reloading to start a new task.","6"
"66","neurology","Have you ever been diagnosed with any neurological illness, such as meningitis, encephalitis, or stroke?","9"
"67","headinjury","Have you ever had any head injuries where you were unconscious for at least 20 minutes?","9"
"68","have you ever","Have you ever been diagnosed with ADHA, autism, Asperger's or another developmental disorder?","9"
"69","hearingimp","Do you have any non-correctable hearing impairments?","9"
"70","visionimp","Do you have any non-correctable vision impairments (i.e., any vision concerns that cannot be corrected by wearing eye glasses or contact lenses)?","9"
"141","Bell let's talk","Are you familiar with the Bell Let's Talk mental health initiative?","2"
"149","Date of birth","Date of birth. Please format as yyyy-mm-dd (example: 1996-04-16)","2"
"150","Vision","Do you wear glasses or contacts to correct your vision?","2"
"151","Languages","List any languages that you speak, other than English. (If more than one, separate with commas)","2"
"431","BuyImpulsive1","I often buy things spontaneously.","37"
"432","BuyImpulsive2","""Just do it"" describes the way I buy things.","37"
"433","BuyImpulsive3","I often buy things without thinking.","37"
"434","BuyFrug2","I am willing to wait on a purchase I want so that I can save money.","37"
"435","BuyImpulsive5","""Buy now, think about it later"" describes me.","37"
"436","BuyImpulsive8","I carefully plan most of my purchases.","37"
"437","BuyImpulsive7","I buy things according to how I feel at the time.","37"
"438","BuyImpulsive6","Sometimes I feel like buying things on the spur-of-the moment.","37"
"439","BuyFrug1","There are things that I resist buying today so I can save money for tomorrow.","37"
"525","Are you fluent","Are you fluent in English?","2"
"557","Phone_Type","What type of phone do you use? (If you have multiple phones, please choose the one you use most often in your daily life.)","49"
"558","Data_plan","Do you have an active data plan? (i.e. so that you can access the internet without wifi)","49"
"559","Lose_weight","Are you currently pursuing a goal to lose weight?","49"
"560","Goal_importance","If yes: How important is this goal to you?","49"
"561","WPTheory1","Strenuous mental activity exhausts your resources, which you need to refuel afterwards (e.g. by taking breaks, doing nothing, watching TV, eating snacks.)","50"
"562","WPTheory2","After a strenuous mental activity, your energy is depleted and you must rest to get it refueled again.","50"
"563","WPTheory3","When you have been working on a strenuous mental task, you feel energized and you are able to immediately start with another demanding activity.","50"
"564","WPTheory4","Your mental stamina fuels itself. Even after strenuous mental exertion, you can continue doing more of it.","50"
"565","WPTheory5","When you have completed a strenuous mental activity, you cannot start another activity immediately with the same concentration because you have to recover your mental energy.","50"
"566","WPTheory6","After strenuous mental activity, you feel energized for further challenging activities.","50"
"567","DepSen_1","I get mentally tired easily.","50"
"603","Age?","What is your age?","52"
"605","Native English?","Is English your first language learned?","52"
"606","English age?","At what age did you learn English (in years)?","52"
"607","First language?","What was your first language learned?","52"
"608","handedness?","Are you right handed, left handed, or ambidextrous?","52"
"609","prev. diag?","Have you ever been diagnosed with a learning, language, or reading disability?","52"
"610","vision","Do you have normal or corrected-to-normal vision (20/20)?","52"
"761","ID last digit","Is the last digit of your student number an odd or even number?","2"
"762","Year of Study","What is your year of study?","2"
"778","Percept_Ab_01","Occasionally it has seemed as if my body had taken on the appearance of another person’s body.","91"
"779","Percept_Ab_02","I have sometimes felt confused as to whether my body was really my own.","91"
"780","Percept_Ab_03","I have sometimes had the feeling that my body is decaying inside.","91"
"781","Percept_Ab_04","Sometimes I have felt that I could not distinguish my body from other objects around me.","91"
"782","Percept_Ab_05","I have felt that something outside my body was a part of my body.","91"
"783","Percept_Ab_06","Sometimes I have had feelings that I am united with an object near me.","91"
"784","Percept_Ab_07","Sometimes I have had a passing thought that some part of my body was rotting away.","91"
"785","Percept_Ab_08","I have sometimes felt that some part of my body no longer belongs to me.","91"
"786","Percept_Ab_09","I can remember when it seemed as though one of my limbs took on an unusual shape.","91"
"787","Percept_Ab_10","I sometimes have to touch myself to make sure I’m still there.","91"
"788","Percept_Ab_11","I have sometimes had the feeling that one of my arms or legs is disconnected from the rest of my body.","91"
"789","Percept_Ab_12","I have had the momentary feeling that my body has become misshapen.","91"
"790","Percept_Ab_13","Sometimes I feel like everything around me is tilting.","91"
"791","Percept_Ab_14","Parts of my body occasionally seem dead or unreal.","91"
"792","Percept_Ab_15","At times I have wondered if my body was really my own.","91"
"793","SM01-Facebook","How often do you use/check Facebook?","92"
"794","SM02-Instagram","How often do you use/check Instagram?","92"
"795","SM03-Twitter1","How often do you use/check Twitter?","92"
"796","SM04-Twitter2","What type of Twitter account do you have?","92"
"797","Music-01","Do you consider yourself to be a musician?","93"
"798","Music-02","In total, how many years of private music training have you received? Please write N/A if not applicable.(Note: Private training refers to one-on-one lessons with a music instructor, not school music or group lessons.)","93"
"800","Music-03","Please list any instruments that you play (including singing), and indicate how many years you have been playing each of these instruments. Please write N/A if not applicable.","93"
"801","Music-04","About how many hours per week do you CURRENTLY sing or play a musical instrument? Please write N/A if not applicable.","93"
"802","Music-05","Have you ever taken lessons in music theory? If so, what is the highest level Royal Conservatory of Music level (RCM), or equivalent, that you have obtained? Please write N/A if not applicable.","93"
